artist,song,version,UG link,
Gorillaz,Feel Good Inc,3,https://tabs.ultimate-guitar.com/tab/gorillaz/feel-good-inc-chords-1434111
Gotye,Somebody That I Used To Know,1,https://tabs.ultimate-guitar.com/tab/gotye/somebody-that-i-used-to-know-chords-1088165
Green Day,21 Guns,1,https://tabs.ultimate-guitar.com/tab/green-day/21-guns-chords-823449
Green Day,Basket Case,1,https://tabs.ultimate-guitar.com/tab/green-day/basket-case-chords-104038
Green Day,Boulevard Of Broken Dreams,3,https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-chords-146744
Green Day,Good Riddance Time Of Your Life,1,https://tabs.ultimate-guitar.com/tab/green-day/good-riddance-time-of-your-life-chords-12835
Green Day,Wake Me Up When September Ends,2,https://tabs.ultimate-guitar.com/tab/green-day/wake-me-up-when-september-ends-chords-158109
Guns N' Roses,Sweet Child O Mine,5,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-chords-1095709
Hozier,Take Me To Church,1,https://tabs.ultimate-guitar.com/tab/hozier/take-me-to-church-chords-1442757
Icon For Hire,Happy Hurts,1,https://tabs.ultimate-guitar.com/tab/icon-for-hire/happy-hurts-chords-1994697
Icon For Hire,Supposed To Be,1,https://tabs.ultimate-guitar.com/tab/icon-for-hire/supposed-to-be-chords-1846735
Imagine Dragons,Demons,2,https://tabs.ultimate-guitar.com/tab/imagine-dragons/demons-chords-1149539
Imagine Dragons,Radioactive,1,https://tabs.ultimate-guitar.com/tab/imagine-dragons/radioactive-chords-1171909
In This Moment,Beast Within,1,https://tabs.ultimate-guitar.com/tab/in-this-moment/beast-within-chords-1459116
In This Moment,Whore,1,https://tabs.ultimate-guitar.com/tab/in-this-moment/whore-chords-1459113
Incubus,Drive,8,https://tabs.ultimate-guitar.com/tab/incubus/drive-chords-1396076
Jason Mraz,Im Yours,1,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-chords-468625
Jean-Jacques Goldman,Envole Moi,2,https://tabs.ultimate-guitar.com/tab/jean-jacques-goldman/envole-moi-chords-1706242
Jeff Buckley,Hallelujah,2,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-chords-198052
Joe Dassin,Les Champs-Elysees,3,https://tabs.ultimate-guitar.com/tab/joe-dassin/les-champs-elysees-chords-1077469
John Legend,All Of Me,1,https://tabs.ultimate-guitar.com/tab/john-legend/all-of-me-chords-1248578
John Rzeznik,Im Still Here,1,https://tabs.ultimate-guitar.com/tab/john-rzeznik/im-still-here-chords-39870
Johnny Cash,Hurt,1,https://tabs.ultimate-guitar.com/tab/johnny-cash/hurt-chords-89849
Jonas Blue,Rise,2,https://tabs.ultimate-guitar.com/tab/jonas-blue/rise-chords-2395281
José González,Crosses,1,https://tabs.ultimate-guitar.com/user/tab/view?h=sT05lKBU2PsFPbUs2A4KdBpl
Joseph Vincent,Cant Take My Eyes Off You,1,https://tabs.ultimate-guitar.com/tab/joseph-vincent/cant-take-my-eyes-off-you-chords-1883548
JP Cooper,Shes On My Mind,1,https://tabs.ultimate-guitar.com/tab/jp-cooper/shes-on-my-mind-chords-2098095
Justin Bieber,Love Yourself,1,https://tabs.ultimate-guitar.com/tab/justin-bieber/love-yourself-chords-1780199
Kaleo,Way Down We Go,1,https://tabs.ultimate-guitar.com/tab/kaleo/way-down-we-go-chords-1869855
Keira Knightley,A Step You Cant Take Back,1,https://tabs.ultimate-guitar.com/tab/keira-knightley/a-step-you-cant-take-back-chords-1508149
Keira Knightley,Lost Stars,1,https://tabs.ultimate-guitar.com/tab/keira-knightley/lost-stars-chords-1505785
Keira Knightley,Tell Me If You Wanna Go Home,2,https://tabs.ultimate-guitar.com/tab/keira-knightley/tell-me-if-you-wanna-go-home-chords-1713614
Lenka,The Show,2,https://tabs.ultimate-guitar.com/tab/lenka/the-show-chords-809905
Linkin Park,Castle Of Glass,6,https://tabs.ultimate-guitar.com/tab/linkin-park/castle-of-glass-chords-1162454
Linkin Park,In The End,4,https://tabs.ultimate-guitar.com/tab/linkin-park/in-the-end-chords-1483998
Linkin Park,Lost In The Echo,2,https://tabs.ultimate-guitar.com/tab/linkin-park/lost-in-the-echo-chords-1484967
Linkin Park,Numb,1,https://tabs.ultimate-guitar.com/tab/linkin-park/numb-chords-90873
Linkin Park,One More Light,1,https://tabs.ultimate-guitar.com/tab/linkin-park/one-more-light-chords-1997545
Linkin Park,Roads Untraveled,2,https://tabs.ultimate-guitar.com/tab/linkin-park/roads-untraveled-chords-1162781
Local Natives,Mt Washington,1,https://tabs.ultimate-guitar.com/tab/local-natives/mt-washington-chords-1235502
Lorde,Royals,1,https://tabs.ultimate-guitar.com/tab/lorde/royals-chords-1418611
Luis Fonsi,Despacito,1,https://tabs.ultimate-guitar.com/tab/luis-fonsi/despacito-chords-1932541
